sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Unknown,RSI 超買區域 (70),None,False,False,141,0.3262411347517731,-0.002763860212955642,0.0
Unknown,RSI 維持超買,Evening Star,True,False,16,0.125,0.016045066183303956,-0.17342931937172773
Unknown,RSI 維持超買,None,False,True,103,0.3106796116504854,-0.030326250435776584,0.01225029227875768
Unknown,BB 突破上軌 (超買),None,False,True,259,0.3166023166023166,-0.02032844147005962,-0.02668126548723565
Unknown,RSI 維持超買,Bearish Engulfing,True,False,16,0.4375,0.01732808487433843,0.13907068062827227
Unknown,RSI 維持超買,Bearish Harami,True,False,19,0.2631578947368421,-0.015220655984314376,-0.03527142463488564
Unknown,BB 突破上軌 (超買),Evening Star,True,True,5,0.6,0.04928903798863488,0.25671641791044775
Unknown,BB 突破上軌 (超買),Bearish Engulfing,True,False,17,0.5294117647058824,0.01436947034513672,0.18612818261633013
Unknown,價格突破 EMA20,None,False,True,45,0.3333333333333333,0.011229131082074082,0.10606060606060605
Unknown,KDJ 超買區死叉,None,False,True,10,0.4,-0.039882929492304015,-0.05454545454545451
Unknown,BB 突破上軌 (超買),Evening Star,True,False,13,0.5384615384615384,0.04073839794152102,0.1951779563719862
Unknown,KDJ 超賣區金叉,None,False,True,53,0.33962264150943394,0.006821006202157254,0.0453188440410795
Unknown,EMA 死亡交叉 (20 下穿 50),Bearish Harami,True,False,5,0.2,-0.03112014031098277,-0.09411764705882353
Unknown,EMA 黃金交叉 (20 上穿 50),None,False,True,13,0.5384615384615384,0.050789353802091944,0.1575091575091575
Unknown,價格跌破 EMA20,Bearish Harami,True,False,21,0.2857142857142857,-0.003413209442246596,-0.022796352583586643
Unknown,RSI 超賣區域 (30),None,False,True,39,0.46153846153846156,0.02602661392215614,0.04487179487179488
Unknown,EMA 死亡交叉 (20 下穿 50),None,False,True,6,0.3333333333333333,0.006005916452489136,0.039215686274509776
Unknown,RSI 維持超賣,None,False,False,366,0.2923497267759563,0.006171047070899559,0.0
Unknown,BB 突破上軌 (超買),Shooting Star,True,False,38,0.2894736842105263,-0.010301638946379381,-0.0538098978790259
Unknown,RSI 超買區域 (70),Bearish Harami,True,False,6,0.0,-0.016472108565693793,-0.3262411347517731
Unknown,RSI 維持超買,Shooting Star,True,False,22,0.3181818181818182,-0.004283902164875549,0.019752498810090446
Unknown,RSI 超買區域 (70),Shooting Star,True,False,13,0.38461538461538464,0.00565556480373893,0.05837424986361156
Unknown,價格跌破 EMA20,None,False,True,31,0.22580645161290322,-0.004194946945531362,-0.08270418668496912
Unknown,價格跌破 EMA20,Bearish Engulfing,True,False,16,0.5,-0.0015905700438424394,0.19148936170212766
Unknown,MACD 跌破 0 軸,Bearish Harami,True,False,6,0.5,0.05738604784059307,0.22680412371134023
Unknown,EMA 死亡交叉 (20 下穿 50),None,False,False,68,0.29411764705882354,-0.007368751118473245,0.0
Unknown,RSI 維持超買,Resistance,True,False,9,0.8888888888888888,0.07479048264141003,0.590459569517161
Unknown,價格突破 EMA20,Bullish Engulfing,True,False,5,0.2,0.0019528801590907748,-0.027272727272727254
Consumer Discretionary,RSI 維持超買,Shooting Star,True,True,8,0.375,0.018627583333143426,0.14057680444170265
Consumer Discretionary,BB 突破上軌 (超買),Shooting Star,True,True,9,0.1111111111111111,-0.0061023884406284715,-0.10995441246512894
Consumer Discretionary,RSI 超買區域 (70),Shooting Star,True,False,21,0.09523809523809523,-0.016215613796261463,-0.1257957728545964
Consumer Discretionary,MACD 跌破 0 軸,Evening Star,True,False,5,0.4,-0.000952191969984692,0.13529411764705884
Consumer Discretionary,價格跌破 EMA20,Shooting Star,True,False,19,0.47368421052631576,0.009005916424502483,0.18959330143540665
Energy,MACD 突破 0 軸,None,False,True,17,0.35294117647058826,0.008244056320536552,0.09028294862248698
Energy,RSI 超買區域 (70),None,False,True,35,0.22857142857142856,-0.009220452263632299,-0.016798941798941813
